Water Year,area,Km^3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Skagit,15467,26.15,2.36,2.12,1.81,2.71,3.11,2.59,2.96,1.64,1.49,1.01,2.32,2.02
Skeena,56272,42.91,0.74,0.92,1.13,2.00,6.39,8.02,5.01,4.84,3.65,4.79,3.47,1.96
Stikine,75670,87.64,3.86,4.00,4.41,4.25,6.48,7.69,7.87,10.77,16.02,8.27,7.26,6.74
Toba,3892,8.24,0.38,0.34,0.57,1.02,0.91,0.89,0.72,0.88,1.14,0.48,0.39,0.52
WC,15882,23.88,3.37,2.61,2.41,2.18,2.63,1.27,0.54,1.10,1.40,0.75,2.88,2.73
WVI,16932,39.23,3.59,2.67,3.75,2.74,4.39,1.94,0.88,3.03,3.41,2.80,4.89,5.15
Columbia,685292,200.71,18.04,16.07,14.97,29.44,24.99,22.14,16.10,13.26,10.82,8.65,11.67,14.55
Bute,9740,15.90,0.35,0.71,0.30,0.58,1.20,2.36,2.92,2.80,1.78,1.77,0.21,0.93
Caamano,30858,62.76,2.96,3.17,3.49,2.41,8.63,7.24,6.33,2.84,8.25,4.63,5.23,7.59
EVI_N,9709,19.05,1.87,2.00,1.26,1.63,1.74,1.41,0.81,0.48,0.73,1.88,2.25,2.99
EVI_S,6510,9.02,0.54,1.71,0.71,0.93,0.56,0.27,0.30,0.10,0.31,0.15,0.68,2.75
Fraser,235396,92.15,3.24,4.68,3.21,6.21,13.83,16.76,12.59,8.28,7.66,5.93,3.27,6.51
Hakai,32520,41.65,1.18,2.10,1.38,1.71,5.51,5.78,5.93,4.00,5.32,3.23,1.57,3.95
Howe,6234,13.78,0.41,0.95,0.49,0.97,1.65,1.98,1.73,1.34,1.23,0.90,0.54,1.59
JdF,5356,11.26,0.74,2.27,1.06,0.78,0.48,0.30,0.19,0.06,0.29,0.77,0.70,3.62
Jervis,5785,7.71,0.46,0.91,0.42,0.62,0.71,0.74,0.59,0.40,0.42,0.45,0.49,1.49
Knight,19437,34.54,0.85,1.19,0.84,1.60,3.73,4.90,5.41,4.62,4.25,4.29,0.80,2.06
Nass,55242,100.82,3.46,5.92,3.85,4.44,11.91,12.71,9.22,6.96,8.78,13.10,7.70,12.76
Puget,17080,13.88,0.62,2.40,0.79,1.05,0.84,0.67,1.68,0.96,0.63,0.96,0.49,2.78
HG_Dixon,4551,8.80,0.67,1.09,0.42,0.34,0.61,0.33,0.15,0.09,0.66,1.22,1.26,1.96
HG_East,4248,16.64,2.22,1.44,2.09,1.31,1.10,0.74,0.44,0.38,0.91,1.87,1.96,2.18
HG_West,3245,10.79,0.76,1.37,0.57,0.46,0.96,0.59,0.29,0.16,1.00,1.18,1.21,2.23
Skagit,15467,25.48,1.47,3.52,1.62,2.07,2.10,1.98,2.55,1.38,1.14,1.99,1.52,4.14
Skeena,56272,47.21,1.06,1.10,1.06,1.46,8.60,10.58,6.66,3.35,3.74,4.46,2.43,2.72
Stikine,75670,87.48,3.20,6.71,3.41,3.33,6.57,7.99,8.24,6.49,13.79,10.74,4.75,12.26
Toba,3892,7.63,0.21,0.63,0.18,0.63,0.75,0.92,0.68,0.65,0.94,1.10,0.16,0.78
WC,15882,31.00,1.76,6.20,2.34,2.10,1.62,0.93,1.31,0.43,1.04,2.48,1.86,8.92
WVI,16932,47.33,2.22,6.92,2.62,3.25,5.19,3.10,3.90,0.92,3.42,1.94,3.76,10.10
Columbia,685292,191.44,12.92,24.30,15.39,24.76,19.24,17.13,13.60,11.82,9.73,11.83,10.90,19.82
Bute,9740,17.30,0.18,0.45,0.79,0.36,1.34,2.70,3.46,2.96,2.11,0.99,1.14,0.82
Caamano,30858,80.67,3.64,2.55,3.97,6.56,6.03,4.90,8.43,5.21,9.74,9.54,10.19,9.90
EVI_N,9709,20.28,1.95,1.57,1.71,1.62,1.82,1.65,0.94,0.45,0.72,1.73,3.30,2.82
EVI_S,6510,10.75,1.21,1.41,0.90,0.94,0.48,0.62,0.42,0.10,0.26,0.17,1.59,2.64
Fraser,235396,114.15,3.01,4.06,5.25,5.13,14.86,21.62,17.34,13.76,10.38,4.55,7.15,7.05
Hakai,32520,46.57,2.01,1.16,2.20,2.18,4.00,5.04,6.53,5.11,6.97,2.83,3.57,4.97
Howe,6234,18.85,0.46,0.91,0.94,0.89,2.07,3.39,2.80,1.85,1.68,0.66,1.88,1.31
JdF,5356,13.62,1.31,1.85,1.50,1.01,0.65,0.37,0.26,0.07,0.30,0.35,2.62,3.35
Jervis,5785,9.75,0.56,0.81,0.86,0.52,0.80,1.22,0.94,0.49,0.51,0.37,1.43,1.24
Knight,19437,36.41,0.91,0.68,1.86,1.72,2.90,5.02,6.36,4.86,4.83,2.33,2.89,2.06
