Water Year,area,Km^3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
HG_West,3245,13.31,1.97,0.55,1.40,0.87,1.07,0.48,0.32,0.52,0.99,1.98,1.37,1.80
Skagit,15467,26.41,1.71,1.50,2.06,2.13,2.66,3.60,1.90,1.39,0.81,2.16,3.09,3.41
Skeena,56272,47.69,1.50,0.70,1.34,2.29,7.67,9.33,5.70,4.66,4.26,5.16,3.37,1.71
Stikine,75670,92.44,4.73,2.73,5.21,4.60,7.03,8.50,8.04,9.54,10.80,14.10,8.39,8.78
Toba,3892,7.68,0.26,0.26,0.36,0.69,0.65,0.90,0.63,0.69,0.61,1.29,0.64,0.70
WC,15882,31.41,3.26,1.57,2.63,2.80,2.15,1.91,0.64,1.10,0.46,2.62,5.68,6.59
WVI,16932,49.92,4.04,2.15,4.13,4.80,6.17,3.50,1.12,2.88,1.75,4.57,7.23,7.59
Columbia,685292,184.57,12.97,12.09,17.79,24.43,18.76,18.83,13.17,11.17,8.59,11.37,14.52,20.89
Bute,9740,16.70,0.52,0.33,0.33,0.85,1.45,2.67,3.63,2.89,1.87,0.69,0.85,0.60
Caamano,30858,74.41,5.25,3.86,2.86,4.37,8.18,9.22,6.73,5.15,10.11,4.53,8.50,5.65
EVI_N,9709,19.48,2.48,1.42,1.47,1.72,1.81,1.50,0.89,0.33,0.47,1.56,3.13,2.70
EVI_S,6510,10.47,1.84,1.21,1.24,0.87,0.46,0.43,0.21,0.06,0.14,0.18,1.35,2.46
Fraser,235396,103.26,4.55,3.77,4.57,7.81,16.42,19.08,14.50,9.34,8.83,4.48,5.92,4.00
Hakai,32520,47.98,2.72,1.71,2.02,2.63,5.07,7.79,6.31,4.86,6.65,2.59,3.40,2.22
Howe,6234,16.74,0.87,0.68,0.66,1.22,2.51,2.38,2.45,1.67,1.27,0.61,1.49,0.93
JdF,5356,13.12,2.79,1.89,1.63,1.44,0.65,0.34,0.07,0.04,0.12,0.31,1.70,2.12
Jervis,5785,8.73,1.06,0.52,0.54,0.64,0.89,0.85,0.79,0.36,0.33,0.33,1.24,1.18
Knight,19437,36.17,1.53,0.72,1.27,2.28,3.28,6.11,6.35,4.90,4.37,1.60,2.47,1.29
Nass,55242,93.49,5.75,5.05,5.66,6.07,11.11,13.06,9.90,7.15,9.32,6.13,7.32,6.98
Puget,17080,13.70,2.02,1.50,1.61,1.40,1.27,1.54,0.91,0.28,0.24,0.27,0.72,1.94
HG_Dixon,4551,8.47,1.27,0.73,0.80,0.55,0.51,0.31,0.23,0.11,0.53,0.61,1.16,1.66
HG_East,4248,17.10,2.09,1.86,1.62,1.38,1.02,0.73,0.38,0.50,0.97,2.19,2.10,2.27
HG_West,3245,11.43,1.68,0.96,1.14,0.80,0.84,0.67,0.38,0.14,0.78,0.62,1.34,2.07
Skagit,15467,27.54,3.31,2.37,2.72,2.45,3.03,3.36,2.37,1.07,0.85,1.00,1.82,3.19
Skeena,56272,47.32,1.29,1.09,1.20,2.26,8.61,11.20,6.63,3.33,4.69,2.37,3.07,1.59
Stikine,75670,84.68,5.97,5.26,5.17,4.45,7.19,10.06,8.83,6.41,11.46,5.24,6.67,7.97
Toba,3892,7.69,0.39,0.27,0.22,0.83,0.95,1.03,1.01,0.49,0.87,0.45,0.61,0.56
WC,15882,30.80,6.51,3.91,3.16,2.86,1.65,1.78,0.37,0.23,0.46,0.73,3.57,5.58
WVI,16932,45.65,5.79,3.96,4.05,3.31,2.87,4.75,1.74,1.11,2.27,1.28,7.73,6.79
Columbia,685292,204.55,21.32,16.27,19.53,25.92,23.51,22.57,14.81,11.24,8.91,8.51,11.20,20.75
Bute,9740,15.07,0.55,0.32,0.68,0.80,1.01,2.17,2.72,2.72,1.51,1.40,0.56,0.60
Caamano,30858,81.96,6.53,1.57,5.04,4.58,9.33,8.44,7.04,7.18,8.52,10.23,6.44,7.06
EVI_N,9709,19.42,2.65,1.23,1.99,1.79,1.57,1.24,0.62,0.37,0.52,2.25,2.43,2.77
EVI_S,6510,11.09,1.98,0.43,1.97,1.46,0.53,0.25,0.28,0.05,0.13,0.92,0.91,2.18
Fraser,235396,99.90,4.51,3.23,5.68,7.71,12.84,17.49,12.99,9.20,7.43,9.44,5.59,3.79
Hakai,32520,46.58,2.20,0.99,2.57,2.59,5.05,5.71,5.99,5.80,5.01,5.80,2.18,2.68
Howe,6234,15.91,0.78,0.36,1.15,1.66,1.47,1.88,1.94,1.52,0.82,2.14,1.30,0.89
JdF,5356,13.57,2.66,0.74,2.43,1.50,0.49,0.11,0.13,0.04,0.14,1.56,1.99,1.78
Jervis,5785,9.02,0.96,0.33,1.14,1.05,0.59,0.74,0.62,0.36,0.16,1.08,0.83,1.16
Knight,19437,33.71,1.67,0.56,1.92,2.46,3.16,3.97,5.04,4.73,3.40,3.91,1.51,1.38
Nass,55242,99.69,7.67,2.37,7.84,6.13,9.34,11.75,9.08,6.87,8.25,15.89,8.38,6.12
Puget,17080,13.94,2.41,0.85,2.22,1.64,0.92,0.53,0.41,0.26,0.40,1.36,1.54,1.39
HG_Dixon,4551,8.38,1.32,0.36,1.16,0.43,0.38,0.17,0.09,0.16,0.41,1.40,0.93,1.59
HG_East,4248,18.13,2.30,1.49,1.62,1.79,1.18,0.76,0.57,0.46,1.01,2.30,2.21,2.43
HG_West,3245,11.15,1.67,0.39,1.65,0.69,0.65,0.29,0.20,0.26,0.61,1.75,0.91,2.08
Skagit,15467,27.91,3.88,1.70,3.37,2.84,2.33,2.03,1.67,0.98,0.94,2.50,3.23,2.44
Skeena,56272,48.04,1.82,0.66,1.61,2.08,7.48,10.60,6.61,3.77,3.86,5.43,2.49,1.63
Stikine,75670,92.64,7.29,2.80,7.25,5.13,6.05,8.28,8.16,6.50,10.80,16.07,7.04,7.25
Toba,3892,7.61,0.39,0.23,0.54,0.96,0.67,0.86,0.59,0.51,0.67,1.24,0.38,0.56
WC,15882,32.38,6.40,1.76,5.81,3.03,1.00,0.49,0.41,0.22,0.60,3.72,4.94,3.99
WVI,16932,52.77,6.61,1.57,6.57,6.92,4.58,1.55,3.50,0.98,2.33,6.45,4.08,7.62
Columbia,685292,209.48,23.01,14.42,25.70,28.93,20.86,18.98,13.55,10.87,9.26,11.07,13.14,19.69
Bute,9740,14.96,0.31,0.31,0.71,0.43,1.04,1.88,2.71,2.50,1.95,0.82,1.38,0.91
Caamano,30858,76.46,5.82,2.10,4.90,3.90,4.99,7.55,7.94,5.66,7.88,9.09,10.55,6.10
EVI_N,9709,19.96,2.34,1.45,1.74,1.43,1.80,1.27,0.69,0.47,0.65,1.85,3.68,2.56
EVI_S,6510,10.08,2.25,0.86,0.98,0.44,0.73,0.37,0.19,0.28,0.31,0.59,1.21,1.88
Fraser,235396,112.95,4.93,3.12,4.63,5.41,15.56,18.57,15.10,13.42,10.99,7.20,8.53,5.50
Hakai,32520,46.87,2.24,1.18,2.49,1.28,3.60,5.28,6.16,5.72,5.46,4.11,5.87,3.48
Howe,6234,18.30,1.02,0.54,0.93,0.64,3.04,2.09,2.21,2.09,1.69,1.38,1.51,1.16
JdF,5356,10.65,2.42,0.77,1.26,0.38,0.59,0.23,0.06,0.19,0.28,0.91,1.71,1.85
Jervis,5785,9.81,1.32,0.54,0.81,0.36,1.09,0.79,0.66,0.55,0.54,0.69,1.30,1.15
Knight,19437,31.69,0.89,0.58,1.95,1.04,2.31,3.39,4.85,4.39,4.07,2.33,4.09,1.78
Nass,55242,101.43,6.95,2.89,5.56,5.59,9.24,11.11,9.83,7.74,11.90,12.63,10.08,7.89
Puget,17080,13.76,1.74,0.95,1.03,0.51,2.07,1.31,0.59,1.36,1.01,0.86,0.88,1.47
HG_Dixon,4551,7.30,1.00,0.42,0.83,0.37,0.24,0.11,0.12,0.15,0.54,0.87,1.26,1.38
HG_East,4248,18.12,2.39,1.71,1.69,1.54,1.25,0.88,0.48,0.47,0.90,2.58,2.07,2.15
HG_West,3245,9.27,1.17,0.48,1.17,0.35,0.40,0.23,0.21,0.30,0.72,1.13,1.46,1.64
Skagit,15467,26.78,2.80,1.79,1.94,1.55,4.02,3.17,2.00,1.66,1.45,1.85,2.07,2.48
Skeena,56272,48.31,1.66,0.72,1.38,2.26,6.69,10.09,6.61,3.83,4.92,4.59,3.69,1.88
Stikine,75670,97.64,6.59,3.31,5.07,3.04,6.61,8.80,8.65,9.66,16.57,12.35,8.77,8.23
Toba,3892,7.69,0.32,0.28,0.48,0.40,0.84,0.70,0.62,0.59,1.16,0.74,0.86,0.69
WC,15882,27.42,5.27,2.53,2.86,0.96,1.82,1.20,0.34,1.10,1.26,2.38,3.34,4.36
WVI,16932,48.35,6.44,2.52,4.96,1.44,3.11,2.52,2.17,2.88,3.02,3.99,9.66,5.62
Columbia,685292,197.26,21.63,15.74,15.51,22.03,24.53,21.92,14.37,13.12,10.54,11.00,10.96,15.90
Bute,9740,18.11,0.48,0.30,0.50,0.53,1.63,2.88,4.18,3.16,1.98,1.46,0.55,0.48
Caamano,30858,84.26,6.03,3.33,5.62,4.69,5.58,7.23,10.62,8.13,7.19,12.92,7.26,5.65
EVI_N,9709,19.83,2.37,1.25,1.62,1.79,1.90,1.47,0.94,0.41,0.56,2.30,2.72,2.51
EVI_S,6510,10.98,2.01,0.45,1.37,1.46,1.03,0.42,0.32,0.13,0.12,0.75,0.87,2.06
Fraser,235396,113.92,5.09,2.94,4.54,5.35,15.37,24.04,20.07,10.87,7.72,8.65,5.22,4.06
Hakai,32520,52.46,2.71,1.82,2.22,2.12,4.86,6.80,8.39,6.86,5.19,5.83,3.14,2.51
Howe,6234,18.13,1.09,0.37,0.88,1.20,2.49,2.92,2.86,1.85,0.99,1.84,0.85,0.78
JdF,5356,12.61,2.85,0.59,1.49,1.29,0.99,0.28,0.24,0.09,0.28,1.24,1.42,1.86
Jervis,5785,8.98,1.06,0.34,0.81,0.81,1.02,1.00,0.85,0.41,0.14,0.95,0.67,0.92
Knight,19437,40.54,1.53,0.66,1.51,2.02,4.55,5.29,7.75,5.53,4.47,4.19,1.90,1.14
Nass,55242,95.80,3.95,2.44,6.79,5.81,9.46,12.05,11.00,7.28,8.71,15.05,7.71,5.54
Puget,17080,15.24,1.30,0.51,1.48,1.55,2.10,1.73,1.49,0.38,0.60,0.96,1.27,1.88
HG_Dixon,4551,7.42,0.72,0.49,0.71,0.52,0.31,0.18,0.20,0.14,0.35,1.61,1.07,1.11
HG_East,4248,18.39,2.55,1.71,1.95,1.66,1.07,0.76,0.50,0.45,0.95,2.26,2.20,2.33
HG_West,3245,10.45,1.19,0.74,0.91,0.88,0.56,0.38,0.34,0.24,0.49,2.12,1.18,1.42
Skagit,15467,27.93,2.29,1.26,2.44,2.50,3.85,3.19,2.42,1.04,1.14,1.98,2.76,3.07
Skeena,56272,51.33,1.05,0.79,1.66,2.34,8.23,11.79,8.52,4.44,3.41,5.16,2.49,1.45
Stikine,75670,93.46,5.71,3.08,5.95,4.56,6.75,9.42,10.41,7.32,11.60,14.95,6.75,6.99
Toba,3892,8.55,0.34,0.21,0.36,0.67,1.16,1.21,1.20,0.56,0.84,1.23,0.36,0.42
WC,15882,31.04,4.87,1.26,3.71,3.23,2.62,1.23,1.52,0.26,0.80,2.80,3.67,5.07
WVI,16932,58.26,8.18,2.18,5.17,6.92,6.81,2.59,4.27,1.55,2.44,6.57,5.81,5.77
Columbia,685292,195.28,15.64,11.21,19.78,25.25,23.52,20.96,14.22,10.72,9.17,11.24,13.45,20.13
Bute,9740,15.07,0.76,0.41,0.64,0.25,0.75,2.23,3.04,2.66,1.59,0.93,1.13,0.67
Caamano,30858,60.91,5.83,1.26,1.44,5.77,4.55,5.84,6.68,3.62,3.49,6.23,7.33,8.87
EVI_N,9709,20.86,3.08,1.52,1.94,1.53,1.56,1.55,0.79,0.33,0.38,1.64,3.72,2.82
EVI_S,6510,12.23,2.59,0.90,1.52,0.86,0.66,0.45,0.26,0.06,0.18,0.32,2.13,2.30
Fraser,235396,98.99,5.20,3.17,3.73,5.77,13.21,17.77,15.68,7.82,6.45,6.37,8.93,4.89
Hakai,32520,41.56,3.07,1.30,1.32,1.91,3.46,5.46,6.00,3.81,2.77,4.30,4.49,3.66
Howe,6234,16.18,1.17,0.40,0.88,0.76,1.63,2.59,2.07,1.59,1.17,1.14,2.04,0.73
JdF,5356,13.39,3.54,0.98,1.38,0.72,0.61,0.31,0.08,0.04,0.14,0.41,3.09,2.10
Jervis,5785,9.43,1.46,0.47,1.00,0.42,0.65,0.90,0.70,0.37,0.31,0.57,1.72,0.87
Knight,19437,31.40,2.10,0.81,1.53,1.21,2.06,3.85,5.25,4.33,2.94,2.42,3.15,1.76
Nass,55242,91.50,6.97,3.62,3.39,8.59,9.44,10.92,7.81,5.70,7.33,7.80,12.16,7.76
Puget,17080,16.09,3.00,1.29,0.97,1.18,1.54,1.88,0.76,0.27,0.47,0.40,2.32,2.01
HG_Dixon,4551,8.27,1.63,0.49,0.74,0.52,0.29,0.16,0.16,0.12,0.30,0.62,1.64,1.60
HG_East,4248,16.19,1.94,1.50,1.44,1.43,1.04,0.68,0.42,0.36,0.88,2.26,1.90,2.35
HG_West,3245,11.03,2.16,0.61,1.15,0.60,0.46,0.28,0.30,0.17,0.38,0.78,1.94,2.19
Skagit,15467,31.39,4.67,2.23,1.88,2.34,3.29,3.73,2.20,1.03,1.02,1.22,4.53,3.25
Skeena,56272,41.12,1.38,0.72,0.73,2.77,6.63,8.86,5.57,2.68,3.02,3.52,3.19,2.05
Stikine,75670,86.42,7.62,3.89,3.77,4.64,6.20,8.98,8.20,5.53,9.28,7.94,11.08,9.30
Toba,3892,7.22,0.60,0.33,0.51,0.28,0.53,0.88,0.74,0.48,0.82,0.68,0.88,0.50
WC,15882,33.91,8.75,2.33,3.11,1.81,1.51,1.38,0.43,0.22,0.53,0.99,7.90,4.96
WVI,16932,50.91,8.83,3.71,5.30,3.60,3.01,1.67,2.04,0.59,1.49,2.41,9.70,8.57
Columbia,685292,219.54,28.09,15.75,17.78,27.15,25.26,23.64,15.07,11.29,9.00,9.21,18.11,19.19
Bute,9740,19.67,0.82,0.64,0.64,0.59,1.33,3.39,4.02,3.35,2.32,1.02,0.83,0.72
Caamano,30858,83.17,6.46,4.02,5.18,6.38,8.37,9.57,10.23,7.02,5.91,9.80,5.94,4.28
EVI_N,9709,21.45,2.88,1.81,1.80,1.69,1.76,1.56,0.87,0.43,0.65,2.14,3.21,2.66
EVI_S,6510,11.50,2.00,1.26,1.53,1.14,0.52,0.43,0.40,0.15,0.27,0.59,1.02,2.19
Fraser,235396,117.18,5.41,4.08,4.95,6.63,14.83,24.30,17.12,11.88,8.07,8.32,6.44,5.13
Hakai,32520,58.35,4.20,2.47,2.86,2.95,6.37,9.13,8.40,6.81,4.12,5.70,3.50,1.85
Howe,6234,17.28,1.12,0.68,1.18,1.09,2.11,2.74,2.83,1.84,1.38,0.56,0.68,1.09
JdF,5356,14.03,2.91,1.62,2.38,1.17,0.38,0.33,0.28,0.07,0.20,1.12,1.09,2.49
Jervis,5785,8.87,1.20,0.70,0.88,0.64,0.80,0.99,0.83,0.41,0.38,0.27,0.68,1.08
Knight,19437,44.02,2.63,1.08,2.02,1.97,3.41,6.96,7.60,6.01,4.70,3.57,2.58,1.49
Nass,55242,106.07,7.10,5.59,7.58,5.95,9.40,15.03,11.31,6.98,8.34,15.97,6.13,6.69
Puget,17080,15.40,1.70,1.59,1.94,0.82,1.05,1.34,1.34,0.54,0.43,1.07,0.89,2.70
HG_Dixon,4551,9.52,1.10,0.91,0.98,0.63,0.32,0.34,0.28,0.13,0.48,1.88,1.32,1.16
HG_East,4248,15.69,2.04,1.48,1.50,1.36,1.01,0.65,0.41,0.42,0.84,1.97,1.86,2.14
HG_West,3245,12.96,1.47,1.09,1.30,1.00,0.63,0.74,0.53,0.26,0.64,2.31,1.57,1.42
Skagit,15467,29.19,2.85,2.60,2.94,1.86,2.76,3.09,2.58,1.17,0.95,2.13,2.19,4.06
Skeena,56272,53.53,1.58,1.15,1.57,2.44,8.92,13.15,8.25,4.24,3.14,5.50,2.05,1.55
Stikine,75670,98.71,7.01,5.62,6.49,4.23,5.91,10.84,10.83,7.50,11.44,14.21,6.06,8.56
Toba,3892,8.83,0.53,0.54,0.42,0.63,0.85,1.38,1.01,0.57,1.21,0.61,0.51,0.58
WC,15882,34.36,5.00,4.32,5.42,2.19,1.20,1.68,1.54,0.42,0.72,2.83,2.76,6.28
WVI,16932,62.93,9.48,5.67,6.62,5.42,2.83,4.30,4.30,1.67,2.56,6.11,6.54,7.44
Columbia,685292,210.42,17.85,19.09,19.96,24.50,23.29,22.91,15.95,11.93,9.25,11.69,12.24,21.75
Bute,9740,17.27,0.42,0.59,0.68,0.46,1.67,2.44,3.31,3.23,1.69,1.10,0.83,0.85
Caamano,30858,69.02,2.31,3.28,3.92,3.46,4.99,7.48,8.55,7.88,2.67,8.13,10.47,5.89
EVI_N,9709,19.37,2.61,1.44,1.41,1.58,1.95,1.39,0.83,0.50,0.34,1.89,2.97,2.46
EVI_S,6510,7.78,2.08,0.44,0.44,0.59,0.40,0.45,0.23,0.20,0.09,0.42,1.06,1.35
Fraser,235396,107.02,4.03,3.90,4.40,4.37,15.39,18.97,16.57,14.38,5.60,6.64,7.12,5.64
Hakai,32520,48.32,1.19,2.11,2.18,1.76,4.93,6.33,6.75,6.83,2.84,4.39,5.20,3.81
Howe,6234,14.23,0.77,0.51,0.64,0.89,1.63,2.18,1.88,1.71,0.85,1.16,1.13,0.88
JdF,5356,10.37,2.24,1.12,1.29,0.75,0.36,0.27,0.12,0.19,0.07,0.61,1.88,1.46
Jervis,5785,7.84,1.01,0.49,0.54,0.50,0.74,0.81,0.62,0.48,0.22,0.62,0.89,0.94
Knight,19437,35.84,1.12,0.99,1.73,1.22,4.14,4.74,5.47,5.93,3.13,3.01,2.67,1.68
Nass,55242,87.34,5.41,4.45,5.20,4.13,10.14,11.68,9.53,9.64,4.73,8.10,8.04,6.30
Puget,17080,13.94,1.51,1.29,1.39,0.91,1.06,1.63,0.73,1.36,0.23,0.59,1.68,1.57
HG_Dixon,4551,7.42,0.94,0.66,0.90,0.48,0.44,0.27,0.26,0.19,0.38,0.82,1.31,0.76
HG_East,4248,15.78,1.95,1.42,1.48,1.23,0.93,0.67,0.39,0.45,0.79,2.09,2.12,2.25
HG_West,3245,9.88,1.08,0.78,1.26,0.69,0.69,0.53,0.44,0.29,0.56,1.04,1.66,0.86
Skagit,15467,27.27,2.70,2.22,2.31,1.85,2.80,3.29,2.06,1.65,0.82,1.44,3.41,2.73
Skeena,56272,43.76,1.19,1.01,1.28,1.50,7.21,9.84,6.67,4.93,2.28,3.24,3.01,1.60
Stikine,75670,81.89,5.01,4.45,4.72,2.86,5.97,9.03,8.71,10.39,6.22,8.79,8.24,7.50
Toba,3892,7.79,0.35,0.45,0.41,0.47,1.05,0.91,0.73,0.69,0.74,0.86,0.51,0.61
WC,15882,27.60,4.47,2.89,3.22,1.77,1.07,1.39,0.68,1.10,0.29,1.61,5.40,3.72
WVI,16932,35.68,8.04,1.77,1.29,1.43,2.81,2.48,1.42,2.59,0.66,3.55,5.89,3.75
Columbia,685292,200.52,21.00,15.04,19.16,23.23,22.69,22.18,14.47,13.02,8.45,9.58,13.44,18.26
Bute,9740,15.63,0.41,0.32,0.44,0.40,1.23,2.31,3.29,2.68,1.84,1.21,1.19,0.31
Caamano,30858,72.77,5.00,1.78,3.89,5.06,7.13,7.70,6.19,7.15,8.95,9.64,7.91,2.37
EVI_N,9709,19.10,2.26,1.24,1.47,1.33,1.76,1.35,0.87,0.35,0.62,2.00,3.94,1.91
EVI_S,6510,9.11,1.24,0.55,1.22,0.54,0.88,0.27,0.23,0.09,0.30,0.74,2.05,1.00
Fraser,235396,109.24,4.49,3.40,4.43,6.09,16.48,19.39,16.54,8.79,9.19,9.31,7.81,3.33
Hakai,32520,50.41,2.49,1.15,2.15,2.63,5.41,7.41,6.16,5.69,5.38,5.62,5.07,1.26
Howe,6234,15.77,0.78,0.41,0.84,0.79,1.92,1.83,2.02,1.54,1.48,1.85,1.80,0.51
JdF,5356,11.61,1.92,0.58,1.53,0.80,0.91,0.12,0.08,0.08,0.26,1.30,3.04,1.00
Jervis,5785,8.31,0.87,0.39,0.75,0.41,0.75,0.71,0.69,0.37,0.47,0.94,1.50,0.48
Knight,19437,33.93,1.25,0.56,1.26,1.53,3.37,4.53,5.28,4.61,4.01,3.11,3.72,0.70
Nass,55242,85.52,3.63,2.75,6.16,8.15,11.45,10.00,7.17,5.41,8.25,10.22,9.32,3.01
Puget,17080,14.50,1.97,0.56,1.52,1.28,2.43,0.76,0.86,0.57,0.62,1.29,1.71,0.92
HG_Dixon,4551,6.29,0.68,0.46,0.87,0.51,0.40,0.15,0.08,0.18,0.58,0.84,1.04,0.49
HG_East,4248,16.05,2.02,1.44,1.38,1.11,1.02,0.74,0.38,0.37,0.86,2.39,2.10,2.24
HG_West,3245,8.48,1.03,0.60,1.02,0.50,0.65,0.27,0.13,0.31,0.86,1.24,1.26,0.60
Skagit,15467,27.98,3.38,1.36,2.53,2.26,4.15,2.31,2.13,1.12,1.13,2.41,3.36,1.84
Skeena,56272,43.23,0.97,0.73,1.31,2.86,7.83,9.57,5.66,3.01,3.96,3.82,2.65,0.88
Stikine,75670,86.56,4.97,3.10,4.94,4.25,7.50,7.68,7.42,6.49,13.20,13.69,9.22,4.10
Toba,3892,7.18,0.29,0.23,0.32,0.36,0.80,0.81,0.88,0.44,0.94,1.05,0.85,0.22
WC,15882,29.07,5.01,1.32,3.04,1.93,2.44,0.50,0.32,0.45,0.89,3.10,7.78,2.28
WVI,16932,46.33,6.00,2.05,3.98,2.55,5.73,1.97,1.80,0.93,3.12,4.40,11.08,2.72
Columbia,685292,196.79,18.88,13.55,20.34,24.27,24.22,20.16,14.20,11.25,9.35,11.78,14.23,14.57
Bute,9740,15.04,0.54,0.31,0.45,0.25,1.34,2.05,2.76,2.73,1.92,0.79,1.02,0.88
Caamano,30858,72.16,4.31,2.81,5.28,3.60,3.59,7.43,4.69,5.01,9.44,13.66,7.34,5.01
EVI_N,9709,20.90,2.79,1.66,1.62,1.67,1.85,1.31,0.70,0.41,0.75,1.97,3.09,3.07
EVI_S,6510,13.68,2.47,1.49,1.59,1.76,1.07,0.42,0.18,0.13,0.30,0.65,1.04,2.58
Fraser,235396,94.93,4.06,2.85,3.79,5.40,14.15,17.40,12.00,10.17,9.39,5.50,6.28,3.94
Hakai,32520,43.24,1.79,1.27,2.10,1.93,3.67,5.42,4.57,5.31,6.02,5.61,2.78,2.76
Howe,6234,18.65,1.01,0.60,1.04,1.42,3.11,2.36,2.16,1.98,1.65,0.94,1.34,1.06
JdF,5356,13.53,2.20,1.07,1.15,1.61,1.13,0.28,0.06,0.11,0.33,1.22,1.55,2.82
Jervis,5785,10.76,1.38,0.73,1.03,0.94,1.18,0.84,0.66,0.50,0.49,0.58,1.14,1.30
Knight,19437,32.17,1.37,0.61,1.37,1.11,3.22,3.97,4.36,4.50,4.41,2.98,2.41,1.87
Nass,55242,94.94,5.62,2.69,6.59,4.85,9.97,11.63,7.21,5.98,12.29,13.16,8.51,6.42
Puget,17080,17.19,1.61,1.03,1.23,1.68,2.55,2.63,0.60,0.63,1.03,0.94,1.22,2.06
HG_Dixon,4551,7.88,1.29,0.64,1.09,0.54,0.36,0.15,0.08,0.12,0.69,0.76,1.01,1.16
HG_East,4248,18.71,2.11,1.76,1.72,1.53,0.99,1.04,0.37,0.42,0.92,3.35,2.13,2.38
HG_West,3245,10.84,1.74,0.87,1.59,0.95,0.64,0.29,0.12,0.22,1.03,0.90,1.05,1.44
Skagit,15467,31.20,2.76,1.91,2.19,2.86,4.45,4.38,1.97,1.21,1.49,1.92,2.71,3.34
Skeena,56272,42.89,1.28,0.70,1.51,1.80,6.53,9.01,4.89,2.83,4.87,5.29,2.72,1.46
Stikine,75670,94.45,5.81,3.62,5.44,4.32,7.34,9.40,7.17,7.14,16.95,12.02,7.13,8.11
Toba,3892,8.16,0.48,0.33,0.38,0.50,1.08,0.85,0.69,0.65,1.13,0.62,0.70,0.73
WC,15882,35.26,6.40,2.90,2.88,3.00,2.97,1.95,0.31,0.45,1.40,2.82,4.10,6.07
WVI,16932,54.04,6.95,4.33,4.91,5.50,4.91,3.33,0.87,1.11,3.37,4.94,5.18,8.65
Columbia,685292,212.33,19.33,14.71,18.88,28.53,25.41,23.65,14.20,11.29,10.67,11.30,13.77,20.62
